類別編號,詐騙類型 (Scam Type),訓練輸入 (Input / 模擬詐騙話術),標籤 (Label),輸出 (Advice/Action)
一,假投資詐騙,(新竹客製) 我有內線消息，台積電供應鏈這支股會大漲 30%！只限我們私人交流群組。你先下載「XX財經App」開戶，我帶你操作 10 萬元小試牛刀。,False_Investment_Scam,警惕「內線消息」與「保證獲利」。正規券商不會要求下載陌生App進行開戶。
一,假投資詐騙,老師說這波 AI 概念股是百年難得的機會，我們採用槓桿操作，20 萬投入一個月變 200 萬不是問題。我手把手教你如何將資金匯入到「導師指定帳戶」。,False_Investment_Scam,警惕「高槓桿」、「短時間暴富」及要求將資金匯入個人或陌生帳戶。
一,假投資詐騙,"親愛的，這是我的虛擬貨幣交易大師，你跟著他操作，保證收益率 120%。先繳 50,000 元會員費，加入黃金 VIP 群組，只剩 5 個名額。",False_Investment_Scam,警惕「高額會員費」和「誇大收益」。投資沒有保證獲利。
一,假投資詐騙,這個平台是國外私募的，提領要先繳交 20% 稅金，請你先繳 50 萬，繳完稅金後就能將 500 萬全數領出。,False_Investment_Scam,這是典型的「不出金」詐騙。正規投資平台不會要求投資人先繳稅金才能提領。
一,假投資詐騙,我們是受金管會監管的區塊鏈量化交易平台，每日穩定 2% 收益，讓你財富自由。請點擊連結進行身份認證和網銀綁定。,False_Investment_Scam,警惕「區塊鏈量化交易」等高深詞彙，並要求網銀綁定。官方監管名單可查詢。
一,假投資詐騙,我是知名財經專家 X 老師的助理，老師創立「飆股研究社」，限額 100 人，請加 LINE 免費領取 3 檔飆股。,False_Investment_Scam,警惕假冒名人。所有飆股或免費資訊都可能是引導至假投資平台的陷阱。
一,假投資詐騙,你看，我剛投入 10 萬，兩天就賺 3 萬的截圖，我們現在正在放空美股，快點跟上。,False_Investment_Scam,警惕不實的獲利截圖。高頻率強調賺錢和催促跟進是常見手法。
一,假投資詐騙,(新竹客製) 老師說這個 IC 設計概念股是獨家資訊，請明天早上 9 點前將 30 萬現金交給我的助理，我們會幫你代操。,False_Investment_Scam,警惕要求「面交」現金進行投資，正規投資管道應是銀行轉帳。
一,假投資詐騙,我們的平台受到新加坡金融管理局認證，投資門檻 100 萬起跳，請下載我們的 VIP 專用 App，不要錯過這次機會。,False_Investment_Scam,警惕聲稱境外監管，但無法在當地查證的陌生投資平台。
一,假投資詐騙,這是保本型投資產品，每月固定配息 8%。請簽署電子合約並將資金匯入我的個人信託帳戶。,False_Investment_Scam,警惕「保本高息」承諾及要求匯入個人名義的「信託帳戶」。
一,假投資詐騙,你現在賺了 100 萬，但帳戶被風控了，需要繳納 50 萬解凍金才能提領。,False_Investment_Scam,警惕「解凍金」、「保證金」等藉口，這通常是詐騙的最後一環。
一,假投資詐騙,我是 YouTuber XX，這是我的秘密投資群。前 100 名加入者享有免費 1 對 1 指導，點擊連結報名！,False_Investment_Scam,警惕假冒知名人物，導流至私人群組進行詐騙。
一,假投資詐騙,你這筆 50 萬的單子虧損了，為了避免爆倉，請立刻再入金 30 萬補足保證金。,False_Investment_Scam,警惕虛報虧損，催促再次投入資金的手段。
一,假投資詐騙,我們專做冷門 NFT 藝術品投資， 3 個月翻 5 倍，保證回收。請到陌生的虛擬錢包網站註冊並轉入以太幣。,False_Investment_Scam,警惕高風險、難以驗證的 NFT/藝術品投資，並要求使用陌生錢包。
一,假投資詐騙,這是我們華爾街內部使用的程式交易軟體，只要 2 萬元授權費，就能自動幫你賺錢。,False_Investment_Scam,警惕推銷「程式交易軟體」或「自動獲利系統」。
一,假投資詐騙,我已經幫你賺了 50 萬，你現在可以提領 1 萬試試看（小額出金）。但要提領 50 萬，你必須先升級帳號，繳 10 萬升級費。,False_Investment_Scam,警惕小額出金誘騙，目的是為了後續收取高額升級費或手續費。
一,假投資詐騙,這批貨物是軍工股，機密級別很高，請你用 App 內的點對點轉帳功能，把 50 萬轉給我的帳號。,False_Investment_Scam,警惕使用軍工、機密等詞彙增加神秘感，並要求使用難以追蹤的轉帳方式。
一,假投資詐騙,我們的 App 即將在美國上市，現在投資是最好的時機，請把 20 萬匯給財務部王小姐。,False_Investment_Scam,警惕以「即將上市」為由要求私人匯款。
一,假投資詐騙,你在我們平台上的獲利已達** 100 萬元**，請你提供你的網銀帳號和密碼，以便我們將獎金匯入。,False_Investment_Scam,警惕要求提供網銀帳密。銀行絕不會以任何理由要求客戶提供密碼。
一,假投資詐騙,我有親戚在金管會工作，他推薦的這個內線 App 絕對安全。你先借我 5 萬投入，我跟你一起賺！,False_Investment_Scam,警惕聲稱與公務機關有關係，利用人情誘騙投資。
二,解除分期付款,您好，我是 PChome 客服，您昨天購買的記憶卡因作業失誤，被設為** 12 期分期付款**。請您立即到 ATM 依照語音指示操作 「取消設定」，避免每月扣款！,Unsubscribe_Installment_Scam,ATM 無法取消分期付款或任何交易。這是詐騙。
二,解除分期付款,這裡是 MOMO 客服，因您是新竹地區VIP客戶，誤將您的訂單升級為 12 筆重複扣款。請配合我們轉接「銀行人員」指示操作 APP 網銀的 「約定帳號」。,Unsubscribe_Installment_Scam,警惕要求轉接銀行人員及要求操作網銀的「約定帳號」功能。
二,解除分期付款,我是銀行專員，您剛才的網購訂單有** 20 筆異常刷卡紀錄**，請您將手機收到的「認證碼」或「驗證碼」告訴我，以協助阻擋扣款。,Unsubscribe_Installment_Scam,任何認證碼/驗證碼都不能告訴陌生人。這是直接盜用帳戶的行為。
二,解除分期付款,(半夜來電) 我們是 7-11 店員，您取貨的包裹條碼刷錯了，將會連續 6 個月扣款。請您快點到 ATM 進行**『退款設定』**。,Unsubscribe_Installment_Scam,警惕非上班時間的緊急電話，ATM 無退款設定功能。
二,解除分期付款,您好，我是蝦皮客服，您的包裹送貨員因筆誤，將您的資料輸入成經銷商帳戶。請您協助將款項轉入**「暫時性退款專戶」**。,Unsubscribe_Installment_Scam,警惕要求將款項轉入「暫時性退款專戶」等不明帳號。
二,解除分期付款,這是「新竹物流」打來的。我們配送您的貨物時將條碼輸入錯誤，導致您被設定為 VIP 客戶。請到附近 ATM 進行 VIP 權限**「解除程序」**。,Unsubscribe_Installment_Scam,警惕提及 VIP 權限解除等無意義操作。物流公司不會要求操作 ATM。
二,解除分期付款,你的網銀系統有漏洞，我需要你開啟手機遠端桌面，讓我幫你檢查並取消分期，請在桌面上點開你的銀行 APP。,Unsubscribe_Installment_Scam,絕不開啟遠端桌面或分享畫面。一旦分享，帳戶資訊將完全暴露。
二,解除分期付款,(新竹客製) 我是 PCHome 的客服，您的 iPad 訂單因為駭客入侵系統，導致 10 筆重複扣款。請立刻到 ATM 進行**「財產安全轉移」**。,Unsubscribe_Installment_Scam,警惕強調「駭客入侵」和「財產安全轉移」的緊急話術。
二,解除分期付款,您購買的高鐵票誤設為 12 期付款，我們是高鐵客服，請到 ATM 進行「訂單作廢」流程。,Unsubscribe_Installment_Scam,ATM 無「訂單作廢」功能。任何客服要求操作 ATM 都是詐騙。
二,解除分期付款,我是國稅局人員，您網購的商品有退稅款項，但需要您到 ATM 進行**「身份驗證」**才能領取。,Unsubscribe_Installment_Scam,國稅局退稅不會透過 ATM 進行操作或身份驗證。
二,解除分期付款,您的 LINE 帳號被盜用，請提供您的銀行卡號和密碼，我來幫您清除分期設定。,Unsubscribe_Installment_Scam,警惕以帳號被盜為由，要求提供敏感銀行資訊。
二,解除分期付款,您是我們蝦皮購物的優質會員，系統錯誤導致 24 期扣款，請您到 ATM 選擇英文介面進行「金額更正」的操作。,Unsubscribe_Installment_Scam,警惕要求切換到「英文介面」或「金額更正」等話術，目的是讓受害者看不懂轉帳內容。
二,解除分期付款,您的信用卡資料外洩，已遭人盜刷 5 筆分期。請您將資金轉入「中央清查帳戶」以確保安全。,Unsubscribe_Installment_Scam,警惕強調「資料外洩」和「中央清查帳戶」等公權力名義。
二,解除分期付款,我是您的發卡銀行客服，您的帳戶有異常，請您到銀行櫃檯將錢匯到我們指定的安全帳戶。,Unsubscribe_Installment_Scam,警惕要求到銀行櫃檯將錢匯到「安全帳戶」。
二,解除分期付款,您好，您的訂單被誤設為 10 個月的扣款。請您點擊我們發送的簡訊連結，輸入您的網銀帳號密碼進行**「登入取消」**。,Unsubscribe_Installment_Scam,警惕簡訊中的陌生連結，要求輸入網銀帳密是典型的釣魚網站。
二,解除分期付款,您的訂單有重複繳費的情況，請您提供手機收到的 8 位數退款密碼，我們幫您辦理退款。,Unsubscribe_Installment_Scam,警惕要求提供手機收到的任何「密碼」或「驗證碼」。
二,解除分期付款,您購買的書籍訂單被設為 10 筆。我們現在透過電話語音引導您操作 ATM，請不要掛電話，否則設定無法取消。,Unsubscribe_Installment_Scam,警惕電話語音引導 ATM 操作，營造不能掛電話的緊急感。
二,解除分期付款,我是超商總公司，您的取貨款項匯入了經銷商帳戶，請您到 ATM 進行「更改收款人」的操作。,Unsubscribe_Installment_Scam,警惕提及「更改收款人」等 ATM 無法操作的功能。
二,解除分期付款,您的 LINE 帳號被駭客入侵，分期設定已被更改。請您將 3 萬塊轉給我們公司的資安部門進行檢測。,Unsubscribe_Installment_Scam,警惕以「資安部門」名義要求匯款。
二,解除分期付款,您好，您的貨到付款訂單有異常，請您到 ATM 「確認餘額」，然後進行「退款金額輸入」流程。,Unsubscribe_Installment_Scam,警惕 ATM 無「退款金額輸入」功能，輸入金額即轉帳。
三,假網路購物/拍賣,(社團貼文) 轉讓九成新 MacBook Pro，因急需現金只要 5 折！只接受私訊 LINE 轉帳，不走蝦皮或 PChome，有興趣請私訊我。,False_Online_Shopping_Scam,警惕價格遠低於市價且拒絕使用第三方支付平台。
三,假網路購物/拍賣,(一頁式廣告) 日本專利的智能手錶，限時搶購，下單立享 3 折，貨到付款！ 7 天內不滿意可退款，請立即輸入信用卡資訊預定！,False_Online_Shopping_Scam,警惕一頁式網站、誇大療效/功能、要求信用卡預定。通常是劣質品。
三,假網路購物/拍賣,我在 Dcard 看到你的文章，想買你賣的公仔。我直接轉帳給你 5 萬元，但系統顯示你是「非約定帳號」，請你先操作 ATM 讓系統開啟「驗證轉帳」。,False_Online_Shopping_Scam,警惕「驗證轉帳」、「非約定帳號」等說詞。這是將款項轉出的誘騙話術。
三,假網路購物/拍賣,"請問您要賣這個二手鏡頭嗎？我是海外買家，我已經多付了 10,000 元運費給你，請你**點擊這個「退款連結」**將多餘的錢退給我。",False_Online_Shopping_Scam,警惕要求點擊來路不明的「退款連結」，這通常是釣魚網站。
三,假網路購物/拍賣,"(Line 賣家) 我們的貨源是水貨，所以很便宜，但不能走平台，你先匯 5,000 元訂金到我的個人帳戶，尾款到貨再付。",False_Online_Shopping_Scam,警惕「水貨/低價」藉口和要求預付訂金到個人帳戶。
三,假網路購物/拍賣,(臉書訊息) 你的帳號被我們的拍賣平台誤判為詐欺，請你點擊此連結重新驗證銀行資訊，否則 24 小時後帳號會被凍結。,False_Online_Shopping_Scam,警惕「帳號凍結」等恐嚇，並要求點擊連結驗證銀行資訊（釣魚網站）。
三,假網路購物/拍賣,我是賣家，已經寄出包裹了。但系統顯示你輸入的電話號碼錯誤，無法投遞。請你提供正確的電話號碼和身份證字號讓我幫你修改。,False_Online_Shopping_Scam,警惕要求提供過多敏感個資（如身份證字號）。包裹投遞通常只需電話。
三,假網路購物/拍賣,(新竹客製) 我這裡有一批高階繪圖卡，比市價便宜 2 萬，我們公司專做代購，請先匯 50% 的訂金到我的私人帳號。,False_Online_Shopping_Scam,警惕高價電子產品的低價陷阱，及要求私人帳戶匯款。
三,假網路購物/拍賣,我是 Apple 客服，您有一筆 iPhone 訂單未完成，請點擊簡訊中的網址，登入 Apple ID 進行付款。,False_Online_Shopping_Scam,警惕假冒官方的釣魚簡訊，要求點擊連結登入付款。
三,假網路購物/拍賣,"請問還有賣這個 PS5 嗎？我是蝦皮客服，買家說您是新賣家需要繳交 3,000 元**「保證金」**才能出貨。",False_Online_Shopping_Scam,警惕要求賣家繳交「保證金」才能出貨。
三,假網路購物/拍賣,(假冒買家) 我已付款，但銀行通知我必須先匯 2 倍金額給你，再請你把多餘的退給我，才能完成驗證。,False_Online_Shopping_Scam,警惕「匯 2 倍金額」的謊言，目的是騙取賣家匯款。
三,假網路購物/拍賣,(一頁式廣告) 限時 24 小時！頂級德國製除濕機，買一送一，免運費，只接受貨到付款！,False_Online_Shopping_Scam,警惕過度誇大的「限時」、「買一送一」廣告。
三,假網路購物/拍賣,(假買家) 我想買你的商品，但我的 LINE Pay 顯示帳戶異常，請你幫我點擊這個**「解鎖連結」**。,False_Online_Shopping_Scam,警惕要求賣家點擊連結協助買家解鎖帳號的釣魚手法。
三,假網路購物/拍賣,您訂購的醫美券已到貨，請您點擊連結下載**「 QR Code」，並輸入信用卡資訊**進行確認。,False_Online_Shopping_Scam,警惕要求輸入信用卡資訊以「下載」或「確認」票券。
三,假網路購物/拍賣,(假賣家) 我是 XX 社團的賣家，這件衣服只賣 100 元，請你先私訊給我你的地址和電話，我用黑貓宅急便寄給你，運費到付。,False_Online_Shopping_Scam,警惕以極低價誘騙個資。
三,假網路購物/拍賣,"你的網拍交易被金管會通知，需要繳交 5,000 元手續費才能正常交易。",False_Online_Shopping_Scam,警惕假冒金管會，要求繳交手續費。
四,假交友（愛情詐騙）,親愛的，跟你聊得很投緣，我是在新竹科學園區工作的工程師。我最近利用區塊鏈套利賺了不少錢，我教你一起賺，當作我們的共同基金，好嗎？,Romance_Scam,警惕未見面就談論高利潤投資並主動提供指導。
四,假交友（愛情詐騙）,寶貝，我爸媽生病急需一筆手術費，我現在手頭不方便，只需要 30 萬，下個月一定還你，這關係到我的家人，你可以幫我這個忙嗎？,Romance_Scam,警惕利用親密關係和緊急事件要求借錢。
四,假交友（愛情詐騙）,我在 IG 上看到你，我覺得你很特別。我們可以加 Telegram 聊嗎？我這邊有一個**「愛情投資」**的小專案，專門給我們兩人的。,Romance_Scam,警惕快速要求轉換到非主流通訊軟體，並結合「愛情」與「投資」的話術。
四,假交友（愛情詐騙）,我剛離婚，心情很低落，幸好認識你。我在外匯市場賺了一點錢，你先給我 5 萬試試看，我來幫你操作，讓你看見我的真心。,Romance_Scam,警惕利用「博取同情」和「證明真心」為藉口，要求匯款操作。
四,假交友（愛情詐騙）,我們先一起投資，等資金翻倍後我就飛到新竹跟你見面。請你將 20 萬匯到這個「投資專用帳號」。,Romance_Scam,警惕將見面承諾與投資掛鉤，並要求匯款到特定私人帳號。
四,假交友（愛情詐騙）,其實我是在澳門博弈網站擔任工程師，我知道系統漏洞。你只要跟著我押大押小，絕對穩賺，我把我的帳號密碼都給你，證明我是真心教你的。,Romance_Scam,警惕聲稱掌握系統漏洞或內部消息的賭博/博弈話術。
四,假交友（愛情詐騙）,"(加 LINE 後) 你是我的真命天女，為了我們的未來，我把這個高收益App推薦給你，你先試著存 5,000 美金進去。",Romance_Scam,警惕用命運、未來等詞彙快速將話題轉向投資/金錢。
四,假交友（愛情詐騙）,(新竹客製) 我是在竹科工作的外籍顧問，我發現一個只有我們外籍人士知道的內部理財管道，現在 LINE 給你帳號，你先匯 50 萬，我們一起發財！,Romance_Scam,警惕強調「外籍人士/內部管道」的優勢。
四,假交友（愛情詐騙）,我現在在敘利亞執行人道任務，但我的軍用帳戶被凍結了，急需 10 萬美金幫我解凍，才能回國跟你團聚。,Romance_Scam,警惕過於戲劇化的「急難」理由，並要求高額境外匯款。
四,假交友（愛情詐騙）,寶貝，我現在被海關扣留了，需要繳交保釋金才能出來，請你幫我匯 15 萬元，我會永遠記得你的好。,Romance_Scam,警惕利用「被捕/海關」等情境要求保釋金。
四,假交友（愛情詐騙）,這是我的專屬網站，裡面有我們的共同投資報告。請你輸入網銀帳號密碼登入，我們一起審核收益。,Romance_Scam,警惕要求在陌生網站輸入網銀帳密。
四,假交友（愛情詐騙）,我是金融界高層，我正在測試一個新的理財App，你先幫我投入 10 萬，我給你 50% 的收益。,Romance_Scam,警惕聲稱測試新產品、高層內部消息等。
四,假交友（愛情詐騙）,親愛的，我現在在金門，我的貨物被扣押了，急需 5 萬疏通費，我用我的身份證影本跟你擔保。,Romance_Scam,警惕提供敏感個資（身份證）作為擔保要求借款。
四,假交友（愛情詐騙）,看到你發的生活照，你對生活很有品味。我有一個期貨App，可以 10 天賺 20 萬，我推薦給你，你值得更好的生活。,Romance_Scam,警惕透過讚美和承諾更好生活來引導投資。
四,假交友（愛情詐騙）,我是一個白富美/高富帥，我對金錢不感興趣，只是想找人幫我操作投資帳戶。你先幫我匯 5 萬到這個帳戶作為開戶驗證金。,Romance_Scam,警惕以「代操」為名，要求匯入「驗證金」。
五,假冒親友/公務機關,"(陌生 LINE 帳號) 「我是 XX (朋友全名)，我手機壞了，換了新 LINE，你記得加我！我的舊帳號現在登入不進去，你幫我確認一下。明天我還你 1 萬塊，你先匯 5,000 元給我救急。",Impersonation_Scam,務必撥打原有電話號碼或視訊確認本人。任何提到「手機壞了」並要求匯款的陌生訊息都應警惕。
五,假冒親友/公務機關,(假冒公司主管) XX (公司主管名)，明天開會要用，你先幫我匯 10 萬到這個廠商帳戶，我現在在忙，不方便操作網銀。,Impersonation_Scam,警惕假冒主管。公司間匯款應使用正規流程，不應私下匯款給陌生廠商帳戶。
五,假冒親友/公務機關,我現在在國外旅遊，我的信用卡刷不過，你幫我匯 2 萬到這個民宿老闆的帳戶，我回國立刻給你。,Impersonation_Scam,警惕以「人在國外/不方便」為由要求緊急匯款。
五,假冒親友/公務機關,"我是你的兒子 (或女兒)，我現在在上課，不方便講電話，我急著買一個教材，請你直接匯 8,000 到我的 Paypal 帳戶。",Impersonation_Scam,警惕假冒親人，尤其在無法通話的情況下。要求匯款到電子支付平台也應警惕。
五,假冒親友/公務機關,(假冒社團朋友) 你上次推薦的那個投資，我現在套牢了，急需 50 萬補倉，你先幫我周轉一下，我週末請你吃飯。,Impersonation_Scam,警惕假冒熟人利用「共同話題」或「急需周轉」為由要求匯款。
五,假冒親友/公務機關,(訊息只說「在嗎？」後等回覆) → 「我最近遇到法律問題，需要請律師，先匯 15 萬律師諮詢費給我。」,Impersonation_Scam,警惕對話開頭模糊，後續立刻轉向緊急且高額的資金需求。
五,假冒親友/公務機關,這是我的新 LINE 帳號，請你幫我點擊這個**「輔助認證」**連結，我才能登入，謝謝！,Impersonation_Scam,絕不點擊任何「輔助認證」連結或提供認證碼。這是盜用帳號的經典手法。
五,假冒親友/公務機關,(電話語音) 「這裡是台灣高等法院，您有一張傳票未領取，涉及詐欺罪，如需了解詳情請按 9。」,Impersonation_Scam,警惕公務機關的語音電話，真正的法院傳票會以正式公文方式寄送。
五,假冒親友/公務機關,我是中華電信，您名下門號發送大量詐騙簡訊，必須停機。請按 1 轉接刑事警察局進行筆錄。,Impersonation_Scam,警惕電信業者與警察局互轉。兩單位職責不同，不會直接轉接。
五,假冒親友/公務機關,我是衛生福利部人員，您有一筆老人津貼尚未領取，請您提供身份證號碼和銀行帳號，我們將款項匯入。,Impersonation_Scam,警惕假冒社會福利名義，要求提供敏感個資。
五,假冒親友/公務機關,"(假冒女兒) 媽，我換新手機了，舊的電話號碼不要再打了。我現在要買一個平板電腦，請你幫我匯 15,000 給賣家。",Impersonation_Scam,警惕假冒親人，並以「換新手機」為由要求停止撥打原電話。
五,假冒親友/公務機關,(新竹客製) 我是新竹縣警局偵查隊，你的銀行帳戶被檢調列為警示帳戶，請你立刻到 ATM 把所有錢轉到「國家公證帳戶」。,Impersonation_Scam,警惕任何要求將錢轉到「警示帳戶」、「公證帳戶」或「監管帳戶」的話術。
五,假冒親友/公務機關,你的郵局包裹被海關查獲有毒品，請你將錢匯到指定帳戶作為保釋金。,Impersonation_Scam,警惕郵局、海關、毒品等詞彙的組合，所有涉及司法事務都需經過正式程序。
五,假冒親友/公務機關,(假冒朋友) 幫我個忙，我的網路銀行被鎖了，你先幫我匯 5 萬給廠商，我馬上還你。這是我的新帳號。,Impersonation_Scam,警惕「網銀被鎖」的藉口和要求匯款至陌生帳號。
五,假冒親友/公務機關,"(假冒老闆 Line 訊息) 明天有個重要客戶，請你立刻去買遊戲點數卡 5,000 元，然後把序號拍照傳給我。",Impersonation_Scam,警惕任何理由要求購買「遊戲點數」或「虛擬點數」並提供序號。
五,假冒親友/公務機關,(假冒銀行) 您的網銀安全憑證已過期，請點擊簡訊連結，輸入身份證字號和網銀密碼更新憑證。,Impersonation_Scam,警惕要求在簡訊連結中輸入敏感資訊。
五,假冒親友/公務機關,我是移民署，您的簽證有問題，請繳交 1 萬元處理費到這個帳戶。,Impersonation_Scam,警惕假冒移民署，要求匯款「處理費」。
五,假冒親友/公務機關,你的健保卡遭人盜用，已觸犯法律。請到 ATM 輸入 12 碼代碼進行「身份註銷」。,Impersonation_Scam,警惕強調「觸法」和 ATM 的「身份註銷」操作。
五,假冒親友/公務機關,我是衛生局，你的疫苗接種紀錄有錯誤，需要你提供銀行 OTP 碼進行修正。,Impersonation_Scam,警惕要求提供銀行一次性密碼 (OTP)。