里名,投資0-100,網購0-100,假網拍0-100,假交友0-100,徵婚0-100  
關新里,45.32581561,41.82580853,36.91868361,14.97613782,10.40629724
龍山里,100.0,100.0,88.8281386,100.0,25.52148989
埔頂里,57.39102971,77.42158539,68.68117709,49.51990147,19.65502096
東勢里,25.6705136,13.27590912,17.69622923,3.817323326,23.05963551
育賢里,8.718049926,4.32018416,5.758624025,1.206411474,8.065368052
親仁里,9.164118077,6.812382614,9.080619885,8.245986906,31.96087043
光明里,12.2369447,30.70906257,59.48110744,5.289402769,1.786783789
東園里,26.00445105,20.73778677,27.64259872,9.5434424,100.0
仙水里,19.61673507,46.10404577,40.73620059,46.42168957,11.51789636
綠水里,24.10102215,19.62905281,26.16470292,9.038387211,94.84356729
金山里,15.82712497,43.95438962,38.81803935,55.63205255,10.95935887
新莊里,16.05769042,46.02677055,40.66724708,29.54563917,11.49781821
光復里,8.155660333,8.473030599,11.2941939,2.417113683,23.8591963
建功里,10.51037372,43.89911839,84.7988856,7.628925673,2.823489148
公園里,8.075583846,8.968526749,11.95466945,2.561568406,45.26423866
仙宮里,2.524268897,11.79484909,23.1760404,1.93458485,0.300173973
復中里,8.226364755,16.35820926,21.80480585,18.82814458,59.63836523
東山里,5.486235328,8.818896723,11.75521891,2.517945941,35.96760118
三民里,7.360902919,18.64424369,24.85199373,21.36235956,81.97176511
豐功里,7.036564062,51.81859482,100.0,9.03360483,23.17462853
榮光里,0.186470073,0.0,0.0,0.694026281,3.166300659
文華里,6.256636887,18.27194666,24.35573742,20.94964455,80.39814049
中正里,0.507172752,1.306305391,1.741250218,2.142149124,8.687790548
福德里,1.321027992,3.081443787,4.107435138,0.845274667,9.754584605
新興里,3.033613847,7.881869352,10.50620079,2.244769187,22.31269429
東門里,0.345054354,0.888287666,1.184050148,1.678749814,6.920913784
科園里,6.624760586,54.72374544,48.42765105,69.06151472,13.75752217
南門里,0.481351115,1.5022512,2.00243775,1.540775888,6.139235091
千甲里,1.838588597,4.967763286,6.6218198,1.395203786,9.149587885
振興里,4.994076644,14.47540227,19.29510322,4.167018175,39.56164618
水源里,2.581620129,8.325853525,11.09801304,3.889505992,14.77192482
竹蓮里,0.385244036,0.88114653,1.174531313,0.203809882,3.998516955
成功里,0.268456005,0.500939088,0.667730764,0.092965911,3.003878733
前溪里,2.12439013,7.185231202,9.577611392,2.041674428,12.86221943
寺前里,0.421674137,1.253995117,1.67152282,0.312508485,4.973904115
關東里,3.636074932,41.65018303,36.7619711,26.76113135,16.58158172
武功里,2.765274976,11.53676669,87.1669859,7.847753125,13.77805664
柴橋里,3.479558555,14.83353315,19.77247664,6.853911781,25.66751276
關帝里,0.154217546,0.321873648,0.429044054,0.040761976,2.535436215
錦華里,1.248724389,7.263057974,9.68135121,8.745589287,27.86698229
南市里,0.354956664,1.261353971,1.681331863,0.314653852,4.993155178
復興里,3.289080505,21.27971482,28.36496605,24.28394739,93.11137096
軍功里,1.510203976,29.25761213,56.69510709,5.031958708,8.78704047
湖濱里,1.608795024,8.870408699,11.82388221,9.709093798,36.16165188
建華里,1.030112385,6.002908707,8.001625167,1.696985435,25.35949576
高峰里,2.480298713,14.75258576,19.66457717,6.817038283,25.53198528
明湖里,2.254088281,14.29633683,19.05641651,6.609205838,24.76810313
頂竹里,0.971747453,6.468969441,8.62286455,1.832858689,18.61649032
南大里,0.363156761,2.728218809,3.63660108,1.339647715,8.830533611
新光里,1.215889619,9.086268408,12.11161414,2.595894281,25.4634515
光鎮里,1.2322444,9.22853958,12.30125563,2.63737138,25.83563871
立功里,0.157915843,7.975720137,15.84537698,1.257185164,0.0
下竹里,0.0,0.182055428,0.242672239,0.0,2.16966603
中興里,18.12931639,10.00869241,100.0,4.853950516,7.820558069
金雅里,68.93094464,84.89213506,2.386150553,46.25593523,31.08758751
湳中里,100.0,100.0,2.810802852,48.49734926,76.53674546
大同里,9.399449742,19.76656715,0.555599233,28.97201714,38.91189888
大鵬里,1.067966275,0.0,0.0,0.0,0.178051235
中雅里,45.01215192,48.78927108,1.371370223,23.6615032,37.43290155
中山里,9.109732318,22.3065579,0.626993365,32.32566937,43.43890419
北門里,8.889329843,22.37583037,0.628940478,32.41713261,43.56236798
水田里,30.105791,45.29988824,1.27329055,21.96924501,55.70297314
金華里,45.16595731,68.13609835,1.915171395,33.04420159,52.20588623
士林里,21.00841447,31.59071154,0.887952621,15.32065771,24.30030606
湳雅里,23.48355768,51.14114857,1.945837699,64.96026242,64.69133396
西門里,2.889949293,11.33841605,0.318700522,17.8439893,17.94840728
磐石里,47.13121834,76.86576431,2.160545095,37.27785818,58.87174517
古賢里,5.240090352,6.432898576,0.180816097,4.125255711,1.605621783
武陵里,36.51162189,61.29392773,1.722851468,29.72593021,46.98129408
興南里,9.309078771,32.90524654,0.924901608,46.31954547,47.71509695
南勢里,34.36621447,59.7541289,1.679570759,28.97916859,45.8055238
金竹里,48.20091511,84.90003725,2.386372668,41.17426759,65.00661107
福林里,29.22564153,51.53358997,1.448507616,24.99242511,39.52842762
客雅里,14.69039595,26.12690923,0.73437591,12.67085842,20.12821796
康樂里,24.21600231,35.20919774,0.989661134,21.01170391,13.42232383
境福里,35.61642169,65.04408295,1.828260938,31.54465608,49.84486364
育英里,25.22484498,46.66583882,1.311684728,22.63169484,35.8114764
港北里,15.81379809,23.96140035,0.673507724,14.41129477,8.803527311
長和里,9.045290658,34.93723914,0.982016914,33.51977281,50.51966729
光田里,13.37060045,25.48118714,0.716225935,12.35770032,19.635153
文雅里,28.87626354,55.04780827,1.547285365,26.69672784,42.21183883
舊社里,42.70839837,83.03737737,2.334016971,63.86166843,63.58430831
中寮里,28.32860469,45.06128305,1.266583829,26.79308417,17.46798502
海濱里,33.06234407,54.76969211,1.539468068,32.49015265,21.45464698
民富里,33.31935646,67.70147771,1.902955066,52.24056715,82.43041252
新民里,9.324502219,19.54551099,0.54938578,15.74936813,24.97530724
光華里,27.04078725,79.84509648,2.244288249,100.0,100.0
台溪里,9.352146584,19.98013163,0.56160211,9.689834218,15.43461885
仁德里,2.562803373,14.29404164,0.40177733,21.74642098,29.15826015
西雅里,16.56789547,35.6637278,1.002437078,17.29596263,27.4104081
崇禮里,4.676094536,10.86551596,0.305408232,5.269487222,8.474817339
南寮里,37.38975106,66.37668011,2.277821856,39.30134127,42.34748437
新雅里,29.44586736,66.49695766,1.869098382,32.2492618,50.9542598
曲溪里,29.53164881,70.12293555,1.971017472,34.00776497,53.72300917
潛園里,1.978945244,14.36331412,0.403724443,14.65547904,22.12339267
石坊里,0.775749836,9.768239956,0.274565967,15.77082247,21.09195978
中央里,0.0,6.46625199,0.181753595,11.41107458,15.20685287
舊港里,0.602663126,2.52285222,0.070912402,1.830770418,0.0
頂埔里,100.0,100.0,100.0,77.26593964,63.09463839
東香里,78.72337444,4.730319966,3.164160698,92.73044029,50.90019987
頂福里,66.71366149,1.123435378,0.751477722,40.69867415,56.00822774
牛埔里,73.69918859,2.003929633,1.933516568,76.31849857,100.0
香村里,46.35170062,0.936570877,0.626482094,33.92913707,47.64760445
埔前里,33.48067961,0.72047757,0.481935012,26.10072854,37.97923661
中埔里,21.30872542,0.553098939,0.369973688,20.03710575,30.49044302
香山里,39.52580347,5.087061287,3.402788714,100.0,88.35115363
南隘里,0.711856319,0.011241848,0.00751979,0.407258247,0.223546077
大庄里,22.36815407,6.540627652,6.368148434,63.16349156,2.221877244
鹽水里,6.845274434,0.194608886,0.130175927,7.050092764,3.869830982
虎林里,13.74802739,0.401458895,0.268540071,14.54364451,23.70581957
南港里,0.167199337,0.0,0.0,0.0,0.0
港南里,19.1444418,0.589322672,0.394204124,21.34938232,11.71878214
浸水里,15.25188384,0.476154732,0.3185049,17.24964931,17.3791551
樹下里,10.7669234,0.349246755,0.233614822,12.65215621,13.43605069
大湖里,0.0,0.010742211,0.007185578,0.38915788,0.213610696
朝山里,12.49512955,0.409453099,0.273887477,14.83325037,40.18395979
內湖里,31.65083998,1.030752584,0.689481227,37.34105616,20.49669144
海山里,13.35129007,0.444677557,0.297449487,16.10932621,8.842489279
美山里,1.531148269,0.065452539,0.043781891,2.371148016,1.301534939
中隘里,9.925026416,0.341002733,0.228100309,12.35350016,6.780897677
虎山里,36.223678,1.287316545,0.861099555,46.63559437,42.58242291
茄苳里,0.452029229,0.068700184,0.045954275,2.488800398,1.366114917
